ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
11,simple,,"W-210 Premium Cashew Nuts",1,0,visible,"A common misconception, cashews do not make you fat! In fact , their healthy goodness can be reaped by eating a few everyday. Cashew nuts are a boon, loaded with vitamins and minerals, including zinc, that supports healthy blood circulation and immune system function. The high copper content helps prevent blood diseases too. A great source of dietary fibres, this nut is tiny but mighty!","<strong>W180-Premium Kaju-Cashew Nuts From Shree Sai Cashews.</strong>
\n
\nAlso Called As 'Jeedi Pappu' in Telugu &amp; 'Kaju' in Hindi.
\n
\nThis is a Vegetarian product from our local farmers and processed at PANRUTI, Cuddalore Dist, Tamil Nadu.
\n'Panruti' is one of the best places for Cashew Nuts. Grown locally and available in fried variant and boiled variant.
\n
\n<strong>Brand:</strong> Shree Sai Cashews
\n<strong>Ingredient type:</strong> vegetarian
\n<strong>Shelf life:</strong> 6 months
\n<strong>Ingredients:</strong> cashew / Kaju
\n<strong>Specialty:</strong> no artificial flavor. no preservatives
\n
\nOther names as 'Munthiri Paruppu' (Tamil), 'Andiparippu' (Malayalam), 'Geru Beeja' (Kannada) And 'Kaju' (Gujarati) Are
\nFull Of Anti-Oxidants, Vitamins, And Minerals Which Are Required For The Normal Functioning Of The Body.
\n
\n<strong>Minimum Order Quantity(MOQ): 1 Kg ( 1000 Grams)</strong>
\n
\n<strong>Other Information:</strong>
\n
\nManufactured &amp; Marketed by Vintage Farmers under the brand name of ""Shree Sai Cashews"".
\n
\n<strong>For Queries/Feedback/Complaints:</strong>
\n
\nEmail: cashewcornerstore@gmail.com",,,taxable,,1,,,0,0,,,,,1,,969,1020,"Explore All, Whole Cashews",,,https://cashewcorner.top/wp-content/uploads/2020/12/W-210-Cashew-300x300-2.png,,,,,,,,,0
34,simple,,"W-240 Premium Cashew Nuts",1,0,visible,"A common misconception, cashews do not make you fat! In fact , their healthy goodness can be reaped by eating a few everyday. Cashew nuts are a boon, loaded with vitamins and minerals, including zinc, that supports healthy blood circulation and immune system function. The high copper content helps prevent blood diseases too. A great source of dietary fibres, this nut is tiny but mighty!","<strong>W240-Premium Kaju-Cashew Nuts From Shree Sai Cashews.</strong>
\n
\nAlso Called As 'Jeedi Pappu' in Telugu &amp; 'Kaju' in Hindi.
\n
\nThis is a Vegetarian product from our local farmers and processed at PANRUTI, Cuddalore Dist, Tamil Nadu.
\n'Panruti' is one of the best places for Cashew Nuts. Grown locally and available in fried variant and boiled variant.
\n
\n<strong>Brand:</strong> Shree Sai Cashews
\n<strong>Ingredient type:</strong> vegetarian
\n<strong>Shelf life:</strong> 6 months
\n<strong>Ingredients:</strong> cashew / Kaju
\n<strong>Specialty:</strong> no artificial flavor. no preservatives
\n
\nOther names as 'Munthiri Paruppu' (Tamil), 'Andiparippu' (Malayalam), 'Geru Beeja' (Kannada) And 'Kaju' (Gujarati) Are
\nFull Of Anti-Oxidants, Vitamins, And Minerals Which Are Required For The Normal Functioning Of The Body.
\n
\n<strong>Minimum Order Quantity(MOQ): 1 Kg ( 1000 Grams)</strong>
\n
\n<strong>Other Information:</strong>
\n
\nManufactured &amp; Marketed by Vintage Farmers under the brand name of ""Shree Sai Cashews"".
\n
\n<strong>For Queries/Feedback/Complaints:</strong>
\n
